fid,ID,type,utilFloorArea,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,idBdTopo,nbHousing,unknownNumberOfHousing,idsEntrance,nbPOI,nbWorkingPlace,nbBuildingSimple,nbEntrances,roomLeft
"22",BuildingGroup9988059183926662,BuildingGroup,2030.7307,47_Rue des Boulets_75111,4_Rue Bouvier_75111,,,,,,,,,BATIMENT0000000240747520-BATIMENT0000000240747521,"26","0",Address888044346496696__Address3688044347053724,"6","15","2","2",348.7307
"23",BuildingGroup9988059178085975,BuildingGroup,1787.1207,18_Rue Titon_75111,,,,,,,,,,BATIMENT0000000240747496-BATIMENT0000000240744285,"27","0",Address1588044421823593,"1","4","2","1",1698.1207
"24",BuildingGroup9988059141171282,BuildingGroup,1741.7478,256_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748578-BATIMENT0000000240748576,"21","0",Address8488044307127199,"8","13","2","1",392.7478
"25",BuildingGroup9988059104026836,BuildingGroup,1036.2817,7_Rue de la Présentation_75111,,,,,,,,,,BATIMENT0000000240758225,"32","0",Address3888044371034338,"11","13","1","1",288
"26",BuildingGroup9988059096577169,BuildingGroup,959.58624,41_Rue de l'Orillon_75111,,,,,,,,,,BATIMENT0000000240758220,"27","0",Address5188044315887383,"2","7","1","1",322.58624
"27",BuildingGroup9988059086809144,BuildingGroup,502.47754,18_Rue Louis Bonnet_75111,,,,,,,,,,BATIMENT0000000240758125,"10","0",Address4188044331211630,"4","8","1","1",179.47754
"28",BuildingGroup9988059052783894,BuildingGroup,2501.5247,34_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240755695-BATIMENT0000000240754545,"23","0",Address1788044347839865,"1","7","2","1",2483.5247
"29",BuildingGroup9988058989704422,BuildingGroup,1970.4742,7_Passage Piver_75111,,,,,,,,,,BATIMENT0000000240758151-BATIMENT0000000240758145,"2","0",Address3588044331853792,"0","6","2","1",18
"30",BuildingGroup9988058948130474,BuildingGroup,2227.5269,253_RUE DU FAUBOURG SAINT ANTOINE_75111,32_Rue de Montreuil_75111,,,,,,,,,BATIMENT0000000240743760-BATIMENT0000000240743764-BATIMENT0000000240743771,"35","0",Address3588044243043636__Address5188044313867300,"2","7","3","2",1845.5269
"31",BuildingGroup9988058835025953,BuildingGroup,1425.3481,7_Allée du Philosophe_75111,9_Allée du Philosophe_75111,,,,,,,,,BATIMENT0000000240744037,"9","0",Address8988044281114959__Address788044281168106,"0","1","1","2",1425.3481
"32",BuildingGroup9988058712557776,BuildingGroup,1964.1842,6_Place Léon Blum_75111,,,,,,,,,,BATIMENT0000000240757120-BATIMENT0000000240757122-BATIMENT0000000240757121,"12","0",Address8388044383891981,"3","7","3","1",1804.1842
"33",BuildingGroup9988058639511666,BuildingGroup,586.44904,32_Rue Basfroi_75111,,,,,,,,,,BATIMENT0000000240744476,"0","0",Address788044337475016,"14","42","1","1",0
"34",BuildingGroup9988058600639053,BuildingGroup,425.02548,9_Rue Godefroy Cavaignac_75111,,,,,,,,,,BATIMENT0000000240744512-BATIMENT0000000240744496,"14","0",Address3088044311152926,"3","5","2","1",63.025482
"35",BuildingGroup9988058534593676,BuildingGroup,805.7448,7_RUE DES 3 COURONNES_75111,,,,,,,,,,BATIMENT0000000240757743-BATIMENT0000000240757744,"20","0",Address9388044254760320,"3","12","2","1",633.7448
"36",BuildingGroup9988058377881526,BuildingGroup,1333.5226,13_Rue Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240744396,"33","0",Address7888044405230831,"2","9","1","1",800.5226
"37",BuildingGroup9988058369621034,BuildingGroup,722.211,3_RUE FRANCOIS DE NEUFCHATEAU_75111,,,,,,,,,,BATIMENT0000000240744050,"19","0",Address7588044250023989,"4","26","1","1",315.211
"38",BuildingGroup9988058215621660,BuildingGroup,1303.832,29_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240754882,"16","0",Address4388044277035746,"3","12","1","1",761.83203
"39",BuildingGroup9988058213102849,BuildingGroup,1233.724,12_CITE DES 3 BORNES_75111,,,,,,,,,,BATIMENT0000000240754698-BATIMENT0000000240754702,"21","0",,"1","3","2","0",963.724
"40",BuildingGroup9988058161532686,BuildingGroup,2862.0774,2_TER_Passage du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000240756410-BATIMENT0000000240756413-BATIMENT0000000240756411,"20","0",Address6488044257089896,"4","8","3","1",2604.0774
"41",BuildingGroup9988058099463930,BuildingGroup,1152.753,37_Rue du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000253249596-BATIMENT0000000240757109,"37","0",Address9588044398662897,"0","12","2","1",1095.753
"42",BuildingGroup9988057987542003,BuildingGroup,17360.443,4_Rue Dranem_75111,,,,,,,,,,BATIMENT0000000240755880,"28","0",Address3988044350484582,"11","76","1","1",1030.4434
"43",BuildingGroup9988057948155177,BuildingGroup,961.99603,21_Rue Neuve des Boulets_75111,,,,,,,,,,BATIMENT0000000240748711,"26","0",Address7788044410282396,"1","4","1","1",565.99603
"44",BuildingGroup9988057835393808,BuildingGroup,2945.637,34_Rue Bréguet_75111,36_Rue Bréguet_75111,,,,,,,,,BATIMENT0000000240755665,"32","0",Address5288044341132860__Address5488044341185385,"6","16","1","2",2122.637
"45",BuildingGroup9988057605795690,BuildingGroup,1974.5374,269_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748051,"29","0",Address4888044308262741,"7","12","1","1",591.53735
"46",BuildingGroup9988057595585443,BuildingGroup,1423.0913,321_RUE DU FAUBOURG SAINT ANTOINE_75111,,,,,,,,,,BATIMENT0000000240748040,"24","0",Address2488044246439138,"2","6","1","1",1278.0913
"47",BuildingGroup9888061792243763,BuildingGroup,1540.5443,8_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240756306,"21","0",Address188044348774079,"14","25","1","1",233.54431
"48",BuildingGroup9888061743806389,BuildingGroup,3548.24,105_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000240756706,"19","0",Address6288044279182580,"5","11","1","1",1442.24
"49",BuildingGroup9888061645613103,BuildingGroup,2648.5066,14_Rue des Taillandiers_75111,,,,,,,,,,BATIMENT0000000240743984,"45","0",Address4288044389985567,"3","23","1","1",1503.5066
"50",BuildingGroup9888061464388513,BuildingGroup,5713.581,14_Rue Omer Talon_75111,10_Rue Omer Talon_75111,12_Rue Omer Talon_75111,29_Rue Merlin_75111,,,,,,,BATIMENT0000000240756770-BATIMENT0000000240756769,"30","0",Address5388044266619173__Address8688044266548496__Address4688044266576427__Address5388044266619173__Address9688044335401300,"26","63","2","5",270
"51",BuildingGroup9888061424736901,BuildingGroup,543.7365,132_Rue du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000240756692,"15","0",Address5688044396889238,"5","8","1","1",135
"52",BuildingGroup9888061367104837,BuildingGroup,1452.204,1_Rue de la Folie-régnault_75111,72_Rue Léon Frot_75111,74_Rue Léon Frot_75111,,,,,,,,BATIMENT0000000240756178-BATIMENT0000000240756179,"21","0",Address9688044381257524__Address9088044385751032__Address2888044385802038,"7","11","2","3",305.20398
"53",BuildingGroup9888061181669203,BuildingGroup,1848.7542,19_Rue Trousseau_75111,,,,,,,,,,BATIMENT0000000240744245,"33","0",Address388044291471280,"4","14","1","1",1265.7542
"54",BuildingGroup9888061180832167,BuildingGroup,452.523,1_Rue de la Forge Royale_75111,,,,,,,,,,BATIMENT0000000240744231,"9","0",Address088044299628123,"5","8","1","1",84.52301
"55",BuildingGroup9888061061181465,BuildingGroup,3001.7834,108_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000240757902-BATIMENT0000000240757893,"38","0",,"14","43","2","0",937.78345
"56",BuildingGroup9888060371028842,BuildingGroup,631.0273,21_Rue Lacharrière_75111,,,,,,,,,,BATIMENT0000000240756603,"14","0",Address3388044409678813,"0","3","1","1",631.0273
"57",BuildingGroup9888060327602989,BuildingGroup,357.92224,9_Rue Bréguet_75111,,,,,,,,,,BATIMENT0000000240754469,"5","0",Address3688044341488707,"1","6","1","1",266.92224
"58",BuildingGroup9888060302840009,BuildingGroup,2740.332,14_Rue Pelée_75111,,,,,,,,,,BATIMENT0000000245187418,"21","0",Address8788044383217436,"1","0","1","1",2740.332
"59",BuildingGroup9888060288317350,BuildingGroup,248.574,3_Impasse des Primevères_75111,,,,,,,,,,BATIMENT0000000245187414,"3","0",,"0","0","1","0",248.574
"60",BuildingGroup9888059921687991,BuildingGroup,975.2604,25_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240756914-BATIMENT0000000240756917,"25","0",Address5788044327591072,"1","5","2","1",847.2604
"61",BuildingGroup9888059921000224,BuildingGroup,2928.4116,92_Rue du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000240756916,"25","0",Address1288044397644340,"3","18","1","1",1870.4116
"62",BuildingGroup9888059843750024,BuildingGroup,5411.5845,3_Boulevard Richard Lenoir_75111,4_Boulevard Beaumarchais_75111,6_Boulevard Beaumarchais_75111,8_Boulevard Beaumarchais_75111,,,,,,,BATIMENT0000000245197583,"0","0",Address4388044272506409__Address6688044328521860__Address788044328784686__Address8788044329049537,"17","103","1","4",0
"63",BuildingGroup9888059808866919,BuildingGroup,2304.894,23_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240741875,"36","0",Address3488044287389745,"6","14","1","1",983.89404
"64",BuildingGroup9888059773511737,BuildingGroup,1589.2535,7_Rue Guénot_75111,,,,,,,,,,BATIMENT0000000240749107-BATIMENT0000000356564561,"17","0",Address088044417957118,"2","3","2","1",1292.2535
"65",BuildingGroup9888059605187511,BuildingGroup,1493.467,123_Rue Saint-maur_75111,,,,,,,,,,BATIMENT0000000240757567,"4","0",Address9488044324587274,"5","9","1","1",614.46704
"66",BuildingGroup9888059602016506,BuildingGroup,10104.044,93_A_Rue Oberkampf_75111,,,,,,,,,,BATIMENT0000000240757546-BATIMENT0000000240757545-BATIMENT0000000240757548,"32","0",Address9488044263825716,"5","25","3","1",9881.044
"67",BuildingGroup9888059452361552,BuildingGroup,822.1965,34_Rue Keller_75111,,,,,,,,,,BATIMENT0000000240743961-BATIMENT0000000240743960,"17","0",Address1188044293416026,"6","8","2","1",43.196472
"68",BuildingGroup9888059423506065,BuildingGroup,1898.186,105_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000245187354,"18","0",Address288044273772547,"2","10","1","1",1091.186
"69",BuildingGroup9888059392252573,BuildingGroup,1592.9553,32_Rue Popincourt_75111,30_BIS_Rue Popincourt_75111,,,,,,,,,BATIMENT0000000240755917-BATIMENT0000000240755909-BATIMENT0000000240755910,"9","0",Address5488044270443786__Address2288044270510417__Address5488044270443786,"7","25","3","3",755.9553
"70",BuildingGroup9888059325930358,BuildingGroup,4387.1475,11_BIS_Place de la Nation_75111,,,,,,,,,,BATIMENT0000000240747979-BATIMENT0000000240747982-BATIMENT0000000240747980,"22","0",Address4788044351217720,"2","30","3","1",2751.1475
"71",BuildingGroup9888059315427125,BuildingGroup,876.49445,90_BIS_Rue de Montreuil_75111,,,,,,,,,,BATIMENT0000000240748101,"13","0",Address5788044313301671,"4","5","1","1",355.49445
"72",BuildingGroup9888059255559079,BuildingGroup,412.539,4_Rue Saint-bernard_75111,,,,,,,,,,BATIMENT0000000240744204,"10","0",Address6288044275365456,"1","4","1","1",35.539
"73",BuildingGroup9888059067777251,BuildingGroup,2056.2522,88_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240754591,"22","0",Address9588044271808211,"9","14","1","1",829.2522
"74",BuildingGroup9888059050677342,BuildingGroup,3790.575,32_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754547-BATIMENT0000000240755701,"1","0",Address8988044347814097,"0","0","2","1",3790.575
"75",BuildingGroup9888058879495599,BuildingGroup,2800.1338,12_Rue de Belfort_75111,,,,,,,,,,BATIMENT0000000240755775-BATIMENT0000000240744845,"27","0",Address6588044302087326,"1","10","2","1",2562.1338
"76",BuildingGroup9888058836211345,BuildingGroup,1119.0165,119_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744546,"8","0",Address788044258287454,"3","10","1","1",187.01648
"77",BuildingGroup9888058723037333,BuildingGroup,1910.7533,20_Rue Pétion_75111,13_Rue Camille Desmoulins_75111,,,,,,,,,BATIMENT0000000240756935-BATIMENT0000000240756936-BATIMENT0000000240756928,"32","0",Address7588044353465473,"1","5","3","1",1734.7533
"78",BuildingGroup9888058610108674,BuildingGroup,1422.8236,112_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240755816,"24","0",Address8788044286527919,"8","16","1","1",241.82361
"79",BuildingGroup9888058416360301,BuildingGroup,1531.3218,54_Rue Godefroy Cavaignac_75111,,,,,,,,,,BATIMENT0000000240755795-BATIMENT0000000240755798,"22","0",Address8988044311066828,"5","10","2","1",245.32178
"80",BuildingGroup9888058399971567,BuildingGroup,2236.3374,138_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240756143,"15","0",Address2688044303433605,"8","22","1","1",238.3374
"81",BuildingGroup9888058309176403,BuildingGroup,633.675,12_Boulevard des Filles du Calvaire_75111,,,,,,,,,,BATIMENT0000000245186714,"8","0",Address6688044333902165,"1","3","1","1",263.675
"82",BuildingGroup9888058081468415,BuildingGroup,2096.0063,78_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240754605,"12","0",Address288044274565885,"1","4","1","1",1765.0063
"83",BuildingGroup9888057754675351,BuildingGroup,3817.3838,14_Passage de la Main d'Or_75111,8_Passage de la Main d'Or_75111,,,,,,,,,BATIMENT0000000316905362-BATIMENT0000000316905393,"61","0",,"4","20","2","0",3361.3838
"84",BuildingGroup9888057414407191,BuildingGroup,1633.2623,199_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748254-BATIMENT0000000240748251-BATIMENT0000000240748253,"21","0",Address2488044308898729__Address2488044308898729,"8","12","3","2",146.26233
"85",BuildingGroup9888057342257376,BuildingGroup,1385.9038,82_Avenue Philippe-auguste_75111,,,,,,,,,,BATIMENT0000000240747791,"14","0",Address2388044355201034,"3","28","1","1",760.9038
"86",BuildingGroup988061726660728,BuildingGroup,3324.4563,11_Rue Crespin du Gast_75111,9_Rue Crespin du Gast_75111,,,,,,,,,BATIMENT0000000240757575-BATIMENT0000000240757574,"40","0",Address1888044329594960__Address5788044329963703,"7","37","2","2",2354.4563
"87",BuildingGroup988061643839709,BuildingGroup,1319.3446,11_Rue Keller_75111,,,,,,,,,,BATIMENT0000000240743978,"18","0",Address6188044292774383,"4","12","1","1",301.3446
"88",BuildingGroup988061535044107,BuildingGroup,1771.8165,52_Rue de la Folie-régnault_75111,157_Rue de la Roquette_75111,,,,,,,,,BATIMENT0000000240759285-BATIMENT0000000240759297-BATIMENT0000000240759290,"40","0",Address2588044380471027__Address9188044288394588,"3","12","3","2",1235.8165
"89",BuildingGroup988061427071233,BuildingGroup,2168.1929,9_Rue Omer Talon_75111,,,,,,,,,,BATIMENT0000000240757262-BATIMENT0000000240757258-BATIMENT0000000240757259,"18","0",Address7688044266757920,"4","9","3","1",829.1929
"90",BuildingGroup988061260931086,BuildingGroup,849.0226,77_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240755762,"16","0",Address4388044290013610,"3","10","1","1",97.02258
"91",BuildingGroup988060954200395,BuildingGroup,792.42096,3_Rue Auguste Barbier_75111,,,,,,,,,,BATIMENT0000000240754819,"20","0",Address8888044387472401,"0","3","1","1",792.42096
"92",BuildingGroup988060931957816,BuildingGroup,1250.2736,138_Avenue Parmentier_75111,,,,,,,,,,BATIMENT0000000240754904,"28","0",Address1488044415680362,"7","14","1","1",308.27356
"93",BuildingGroup988060735575288,BuildingGroup,1771.9994,27_Rue Chanzy_75111,,,,,,,,,,BATIMENT0000000240743550,"50","0",,"4","20","1","0",1141.9994
"94",BuildingGroup988060707316377,BuildingGroup,3260.4304,88_Rue Saint-maur_75111,90_Rue Saint-maur_75111,,,,,,,,,BATIMENT0000000240755896-BATIMENT0000000240755898-BATIMENT0000000240755897,"31","0",Address4588044326477954__Address2288044326635867,"5","18","3","2",1777.4304
"95",BuildingGroup988060544191218,BuildingGroup,4692.289,10_Rue de la Fontaine au Roi_75111,19_Rue de la Pierre Levée_75111,,,,,,,,,BATIMENT0000000240754861-BATIMENT0000000240754859-BATIMENT0000000240754870-BATIMENT0000000240754857-BATIMENT0000000240755289-BATIMENT0000000240755298-BATIMENT0000000240755297-BATIMENT0000000240755285-BATIMENT0000000240755290,"43","0",Address2588044374034929__Address7188044404749591,"4","19","9","2",2207.289
"96",BuildingGroup988060522287245,BuildingGroup,2523.5652,86_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754842,"27","0",,"0","10","1","0",2482.5652
"97",BuildingGroup988060490780957,BuildingGroup,603.88245,95_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754891,"9","0",Address3488044349149261,"2","5","1","1",401.88245
"98",BuildingGroup988060398035661,BuildingGroup,917.49005,1_Rue du Général Blaise_75111,,,,,,,,,,BATIMENT0000000240756828,"0","0",Address688044294986550,"5","4","1","1",0
"99",BuildingGroup988060378443074,BuildingGroup,1095.514,3_Rue du Général Guilhem_75111,,,,,,,,,,BATIMENT0000000240756854,"18","0",Address5688044343643686,"1","6","1","1",664.51404
"100",BuildingGroup988060360544027,BuildingGroup,581.3745,12_Rue Saint-ambroise_75111,,,,,,,,,,BATIMENT0000000240756338,"12","0",Address4888044281691244,"4","9","1","1",124.37451
"101",BuildingGroup988060230202356,BuildingGroup,10867.926,56_PASSAGE DU BUREAU_75111,58_PASSAGE DU BUREAU_75111,,,,,,,,,BATIMENT0000000240749092-BATIMENT0000002011664070-BATIMENT0000000240749093-BATIMENT0000002011664095,"86","0",,"10","22","4","0",9285.926
"102",BuildingGroup988060001086069,BuildingGroup,2496.11,4_Rue de Mont Louis_75111,,,,,,,,,,BATIMENT0000000240760028,"9","0",Address8688044311436015,"3","8","1","1",575.1101
"103",BuildingGroup988059845944398,BuildingGroup,1404.0555,7_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000245197887,"24","0",Address5488044274108403,"5","7","1","1",175.05554
"104",BuildingGroup988059820432711,BuildingGroup,2537.6326,6_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000240742199-BATIMENT0000000240742200-BATIMENT0000000240742201,"16","0",Address2988044273584529,"6","8","3","1",970.63257
"105",BuildingGroup988059463263601,BuildingGroup,540.3875,32_Rue Keller_75111,,,,,,,,,,BATIMENT0000000240743953,"18","0",Address3988044293402754,"2","4","1","1",311.3875
"106",BuildingGroup988059420992693,BuildingGroup,1558.39,125_Boulevard Richard Lenoir_75111,,,,,,,,,,BATIMENT0000000245187803,"43","0",Address8788044271199738,"4","17","1","1",1085.39
"107",BuildingGroup988059418596224,BuildingGroup,1255.8368,4_Avenue de la République_75111,,,,,,,,,,BATIMENT0000000245187778,"17","0",Address9288044277384972,"3","8","1","1",493.8368
"108",BuildingGroup988059064124850,BuildingGroup,1216.4181,38_Rue de la Folie-méricourt_75111,,,,,,,,,,BATIMENT0000000240754543-BATIMENT0000000240754541,"24","0",Address2588044347960240,"3","13","2","1",750.4181
"109",BuildingGroup988058935503580,BuildingGroup,458.01828,38_Rue de Montreuil_75111,,,,,,,,,,BATIMENT0000000253242223,"9","0",Address7188044314062152,"3","8","1","1",33.01828
"110",BuildingGroup988058842062726,BuildingGroup,1023.31494,9_Rue Auguste Laurent_75111,,,,,,,,,,BATIMENT0000000240756150,"10","0",Address5788044301613939,"5","7","1","1",194.31494
"111",BuildingGroup988058835561360,BuildingGroup,1064.982,151_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240744537,"17","0",Address6588044304540914,"3","6","1","1",684.98206
"112",BuildingGroup988058772368070,BuildingGroup,2330.955,38_Rue de la Roquette_75111,40_Rue de la Roquette_75111,,,,,,,,,BATIMENT0000000240741897,"10","0",Address7088044288141976__Address5888044288367484,"9","12","1","2",441.95508
"113",BuildingGroup988058769029324,BuildingGroup,2971.0476,11_Passage du Cheval Blanc_75111,,,,,,,,,,BATIMENT0000000240741980,"5","0",Address8388044403779814,"0","0","1","1",2971.0476
"114",BuildingGroup988058630863605,BuildingGroup,1123.598,15_Rue Godefroy Cavaignac_75111,,,,,,,,,,BATIMENT0000000240744511,"19","0",Address6788044309992328,"5","16","1","1",195.59802
"115",BuildingGroup988058443173153,BuildingGroup,1829.0302,106_Rue du Faubourg du Temple_75111,,,,,,,,,,BATIMENT0000000240757650,"26","0",Address4288044411962544,"2","4","1","1",1281.0302
"116",BuildingGroup988058316798222,BuildingGroup,2414.7651,14_BIS_Passage Saint-pierre-amelot_75111,16_Passage Saint-pierre-amelot_75111,,,,,,,,,BATIMENT0000000253252372-BATIMENT0000000245187489,"20","0",Address5688044421189587__Address8988044421202375,"4","10","2","2",2010.7651
"117",BuildingGroup988058296393550,BuildingGroup,2159.4336,9_Passage Saint-pierre-amelot_75111,,,,,,,,,,BATIMENT0000000245187105-BATIMENT0000000245187109-BATIMENT0000000245187104,"27","0",Address188044421404700__Address188044421404700,"1","5","3","2",2088.4336
"118",BuildingGroup988058289327458,BuildingGroup,1361.1644,11_Rue Saint-sébastien_75111,,,,,,,,,,BATIMENT0000000245186682,"14","0",Address6788044316080281,"2","2","1","1",977.1644
"119",BuildingGroup988058190571999,BuildingGroup,1198.1176,6_CITE DES 3 BORNES_75111,,,,,,,,,,BATIMENT0000000240754704,"12","0",Address4288044255132126,"1","1","1","1",966.11755
"120",BuildingGroup988058127483155,BuildingGroup,386.75,1_Passage de l'Asile_75111,,,,,,,,,,BATIMENT0000000240756423,"9","0",Address4988044372770839,"1","3","1","1",386.75
"121",BuildingGroup988058019401387,BuildingGroup,910.60925,8_Avenue Jean Aicard_75111,,,,,,,,,,BATIMENT0000000240757256-BATIMENT0000000240757257,"17","0",Address7288044409313787,"3","7","2","1",359.60925
"122",BuildingGroup988057932257817,BuildingGroup,3282.0242,5_Rue Léon Frot_75111,,,,,,,,,,BATIMENT0000000253242233-BATIMENT0000000309679042,"48","0",Address8188044385250552,"1","0","2","1",3282.0242
"123",BuildingGroup988057707825929,BuildingGroup,750.99207,101_Avenue Ledru Rollin_75111,,,,,,,,,,BATIMENT0000000240744624,"11","0",Address2188044399269597,"2","4","1","1",603.99207
"124",BuildingGroup988057703832020,BuildingGroup,1006.6507,1_Rue Trousseau_75111,,,,,,,,,,BATIMENT0000000240743626,"10","0",Address1988044291206117,"5","10","1","1",205.6507
"125",BuildingGroup988057702241680,BuildingGroup,1526.6001,102_Avenue Ledru Rollin_75111,,,,,,,,,,BATIMENT0000000240743607,"13","0",Address1588044399296452,"3","5","1","1",285.6001
"126",BuildingGroup988057606382046,BuildingGroup,1884.3652,263_Boulevard Voltaire_75111,,,,,,,,,,BATIMENT0000000240748064,"29","0",Address6088044307758179,"2","7","1","1",1450.3652
"127",BuildingGroup988057599171369,BuildingGroup,1101.0476,12_Rue Chevreul_75111,,,,,,,,,,BATIMENT0000000240748018-BATIMENT0000000240748026,"15","0",Address8288044388874825,"2","9","2","1",685.0476
