fid,ID,type,number,suffix,nameStreet,irisCode,typ_loc,source
"74",Address9588044308810535,Address,"277",,Boulevard Voltaire,"75111",entrance,ign
"75",Address3088044306530018,Address,"249",,Boulevard Voltaire,"75111",entrance,ign
"76",Address388044302470903,Address,"12",,Boulevard Voltaire,"75111",entrance,ign
"77",Address288044302316009,Address,"3",,Rue du Morvan,"75111",parcel,dgfip
"78",Address7388044300528428,Address,"7",BIS,Rue Léchevin,"75111",entrance,ign
"79",Address7088044299847551,Address,"16",,Rue de la Forge Royale,"75111",parcel,dgfip
"80",Address2088044299745116,Address,"12",,Rue de la Forge Royale,"75111",parcel,dgfip
"81",Address7788044299704787,Address,"10",A,Rue de la Forge Royale,"75111",parcel,dgfip
"82",Address2488044296963796,Address,"35",,Rue Sedaine,"75111",entrance,ign
"83",Address1488044295245095,Address,"10",BIS,Rue Robert et Sonia Delaunay,"75111",entrance,ign
"84",Address3988044295091060,Address,"5",,Rue du Général Blaise,"75111",parcel,dgfip
"85",Address588044294314837,Address,"20",,Passage Alexandrine,"75111",entrance,ign
"86",Address7188044290065788,Address,"79",,Rue de la Roquette,"75111",parcel,dgfip
"87",Address6888044289072328,Address,"5",,Rue de la Roquette,"75111",entrance,ign
"88",Address6988044286572558,Address,"113",,Rue de la Roquette,"75111",entrance,ign
"89",Address5888044286275978,Address,"102",,Rue de la Roquette,"75111",entrance,ign
"90",Address1388044285921989,Address,"22",,Rue du Grand Prieuré,"75111",parcel,dgfip
"91",Address8388044284765210,Address,"71",,Rue Amelot,"75111",entrance,ign
"92",Address8788044284596025,Address,"68",,Rue Amelot,"75111",parcel,dgfip
"93",Address3188044283429639,Address,"41",,Rue Amelot,"75111",entrance,ign
"94",Address5388044283176747,Address,"11",,Rue Amelot,"75111",entrance,ign
"95",Address588044283046108,Address,"34",,Rue Amelot,"75111",parcel,dgfip
"96",Address7488044280627134,Address,"43",,Rue Alexandre Dumas,"75111",entrance,ign
"97",Address7088044280475406,Address,"35",,Rue Alexandre Dumas,"75111",entrance,ign
"98",Address5288044279551576,Address,"6",,Rue Alexandre Dumas,"75111",parcel,dgfip
"99",Address1088044279195803,Address,"105",,Avenue de la République,"75111",parcel,dgfip
"100",Address8688044276562469,Address,"13",BIS,Avenue de la République,"75111",entrance,ign
"101",Address2188044273305815,Address,"53",,Boulevard Richard Lenoir,"75111",entrance,ign
"102",Address4688044272868731,Address,"40",,Boulevard Richard Lenoir,"75111",parcel,dgfip
"103",Address1688044272224263,Address,"96",,Boulevard Richard Lenoir,"75111",entrance,ign
"104",Address2688044271595642,Address,"14",,Boulevard Richard Lenoir,"75111",entrance,ign
"105",Address5588044271368715,Address,"83",,Boulevard Richard Lenoir,"75111",parcel,dgfip
"106",Address4188044270866097,Address,"7",,Rue de Tunis,"75111",entrance,ign
"107",Address5488044270554490,Address,"34",,Rue Popincourt,"75111",parcel,dgfip
"108",Address7588044268877901,Address,"39",,Rue Popincourt,"75111",parcel,dgfip
"109",Address588044267538933,Address,"9",,Rue Alphonse Baudin,"75111",entrance,ign
"110",Address5588044266054407,Address,"55",,Rue Oberkampf,"75111",entrance,ign
"111",Address4988044263681792,Address,"137",A,Rue Oberkampf,"75111",entrance,ign
"112",Address7188044261638733,Address,"173",,Rue de Charonne,"75111",parcel,dgfip
"113",Address2588044260432127,Address,"153",,Rue de Charonne,"75111",entrance,ign
"114",Address6188044258877362,Address,"45",,Rue de Charonne,"75111",entrance,ign
"115",Address5788044258626625,Address,"38",,Rue de Charonne,"75111",parcel,dgfip
"116",Address5488044252612008,Address,"31",,RUE DES 3 BORNES,"75111",parcel,dgfip
"117",Address188044247471420,Address,"19",,RUE DU FAUBOURG SAINT ANTOINE,"75111",entrance,ign
"118",Address6588044422426574,Address,"2",,COUR DES FABRIQUES,"75111",entrance,ign
"119",Address3888044421229430,Address,"18",,Passage Saint-pierre-amelot,"75111",parcel,dgfip
"120",Address9388044418095442,Address,"3",,Cité d'Angoulême,"75111",parcel,dgfip
"121",Address6388044414002733,Address,"11",,Avenue Parmentier,"75111",entrance,ign
"122",Address3988044413394390,Address,"100",,Avenue Parmentier,"75111",parcel,dgfip
"123",Address9188044413028257,Address,"18",,Rue Jean Macé,"75111",parcel,dgfip
"124",Address4688044412190070,Address,"22",,Rue du Faubourg du Temple,"75111",parcel,dgfip
"125",Address6688044409801916,Address,"26",,Rue Lacharrière,"75111",entrance,ign
"126",Address4788044408903834,Address,"10",,Avenue Jean Aicard,"75111",entrance,ign
"127",Address1988044408765537,Address,"4",,Passage de la Fonderie,"75111",entrance,ign
"128",Address2288044408454187,Address,"4",,Impasse Daunay,"75111",entrance,ign
"129",Address6388044408270062,Address,"10",,Impasse Daunay,"75111",parcel,dgfip
"130",Address988044407656802,Address,"77",,Boulevard de Belleville,"75111",parcel,dgfip
"131",Address2588044405362348,Address,"17",BIS,Rue Richard Lenoir,"75111",entrance,ign
"132",Address588044401820051,Address,"10",,Rue Gambey,"75111",parcel,dgfip
"133",Address4388044401455297,Address,"1",,Rue Charles Delescluze,"75111",parcel,dgfip
"134",Address2888044396544948,Address,"129",,Rue du Chemin Vert,"75111",entrance,ign
"135",Address3088044393792379,Address,"19",,Rue de Nice,"75111",entrance,ign
"136",Address5388044391669432,Address,"139",,Boulevard de Charonne,"75111",entrance,ign
"137",Address9988044387675653,Address,"9",BIS,Rue Auguste Barbier,"75111",entrance,ign
"138",Address8988044387220332,Address,"6",,Rue Moret,"75111",entrance,ign
"139",Address2088044386445170,Address,"5",,Rue Maillard,"75111",parcel,dgfip
"140",Address4188044383295022,Address,"17",,Rue Pelée,"75111",entrance,ign
"141",Address088044381101559,Address,"76",,Rue de la Folie-régnault,"75111",parcel,dgfip
"142",Address7988044378897543,Address,"7",,Rue Neuve Popincourt,"75111",entrance,ign
"143",Address6688044378717146,Address,"2",BIS,Rue Neuve Popincourt,"75111",entrance,ign
"144",Address1588044377056852,Address,"18",,Rue Pasteur,"75111",entrance,ign
"145",Address4288044372125801,Address,"60",,Rue Servan,"75111",entrance,ign
"146",Address9388044371990151,Address,"54",,Rue Servan,"75111",entrance,ign
"147",Address7788044359763404,Address,"9",,Passage de la Main d'Or,"75111",parcel,dgfip
"148",Address4988044358380602,Address,"14",,Passage de la Bonne Graine,"75111",parcel,dgfip
"149",Address9888044357434114,Address,"60",A,Avenue Philippe-auguste,"75111",entrance,ign
"150",Address1988044354557712,Address,"111",,Avenue Philippe-auguste,"75111",entrance,ign
"151",Address4088044351941127,Address,"30",,Rue de Malte,"75111",parcel,dgfip
"152",Address088044349723064,Address,"19",,Rue de la Folie-méricourt,"75111",entrance,ign
"153",Address488044349710193,Address,"18",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"154",Address5988044349046140,Address,"93",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"155",Address9588044348141875,Address,"43",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"156",Address3488044341942259,Address,"21",,Impasse Truillot,"75111",parcel,dgfip
"157",Address4888044340704272,Address,"18",,Rue Bréguet,"75111",parcel,dgfip
"158",Address5488044339279951,Address,"19",,Cité Voltaire,"75111",entrance,ign
"159",Address8088044337965621,Address,"5",,Square Servan,"75111",parcel,dgfip
"160",Address9588044337255259,Address,"23",,Rue Basfroi,"75111",entrance,ign
"161",Address8188044335848342,Address,"18",,Rue Merlin,"75111",parcel,dgfip
"162",Address2188044335678926,Address,"56",,Rue Merlin,"75111",entrance,ign
"163",Address088044332994109,Address,"7",BIS,Rue Duranti,"75111",parcel,dgfip
"164",Address2188044332602856,Address,"8",,Rue Deguerry,"75111",parcel,dgfip
"165",Address1888044330738829,Address,"12",,Rue Gobert,"75111",entrance,ign
"166",Address1288044329807420,Address,"3",,Rue Crespin du Gast,"75111",entrance,ign
"167",Address2288044327578197,Address,"23",,Rue Saint-maur,"75111",entrance,ign
"168",Address5988044327197642,Address,"174",,Rue Saint-maur,"75111",entrance,ign
"169",Address1488044326977223,Address,"169",,Rue Saint-maur,"75111",entrance,ign
"170",Address2088044326674527,Address,"91",,Rue Saint-maur,"75111",entrance,ign
"171",Address8288044326138381,Address,"81",,Rue Saint-maur,"75111",entrance,ign
"172",Address3388044325751830,Address,"145",,Rue Saint-maur,"75111",parcel,dgfip
"173",Address8088044325322167,Address,"134",,Rue Saint-maur,"75111",entrance,ign
"174",Address7588044324379101,Address,"40",,Rue Saint-maur,"75111",parcel,dgfip
"175",Address1288044323190108,Address,"21",BIS,Rue Voltaire,"75111",entrance,ign
"176",Address8188044322542625,Address,"19",,Boulevard de Ménilmontant,"75111",parcel,dgfip
"177",Address3088044319693385,Address,"13",,Rue des Nanettes,"75111",entrance,ign
"178",Address1888044309261063,Address,"91",,Boulevard Voltaire,"75111",entrance,ign
"179",Address9488044306088510,Address,"243",,Boulevard Voltaire,"75111",entrance,ign
"180",Address9588044305612395,Address,"238",BIS,Boulevard Voltaire,"75111",parcel,dgfip
"181",Address2588044302458284,Address,"12",,Boulevard Voltaire,"75111",parcel,dgfip
"182",Address5188044301921313,Address,"4",,Rue de Belfort,"75111",parcel,dgfip
"183",Address4088044300686552,Address,"18",,Cité de Phalsbourg,"75111",entrance,ign
"184",Address3088044300318012,Address,"3",,Rue Japy,"75111",entrance,ign
"185",Address3088044293455562,Address,"36",,Rue Keller,"75111",parcel,dgfip
"186",Address2888044291748855,Address,"38",,Rue Trousseau,"75111",entrance,ign
"187",Address8388044289242065,Address,"174",,Rue de la Roquette,"75111",parcel,dgfip
"188",Address2088044287402691,Address,"23",,Rue de la Roquette,"75111",parcel,dgfip
"189",Address8888044287036953,Address,"130",,Rue de la Roquette,"75111",entrance,ign
"190",Address7588044281370244,Address,"17",,Rue Robert-houdin,"75111",entrance,ign
"191",Address6388044279443402,Address,"55",,Rue Alexandre Dumas,"75111",entrance,ign
"192",Address1088044279388124,Address,"53",,Rue Alexandre Dumas,"75111",entrance,ign
"193",Address4288044279004418,Address,"100",,Avenue de la République,"75111",entrance,ign
"194",Address2188044277116747,Address,"31",,Avenue de la République,"75111",parcel,dgfip
"195",Address4888044271144459,Address,"123",,Boulevard Richard Lenoir,"75111",parcel,dgfip
"196",Address1188044271064615,Address,"120",,Boulevard Richard Lenoir,"75111",parcel,dgfip
"197",Address9188044269389101,Address,"59",BIS,Rue Popincourt,"75111",entrance,ign
"198",Address1288044266264977,Address,"60",,Rue Oberkampf,"75111",parcel,dgfip
"199",Address2288044265617032,Address,"48",,Rue Oberkampf,"75111",entrance,ign
"200",Address9688044265504924,Address,"106",,Rue Oberkampf,"75111",parcel,dgfip
"201",Address3688044264925050,Address,"29",,Rue Oberkampf,"75111",parcel,dgfip
"202",Address3088044263914608,Address,"95",,Rue Oberkampf,"75111",entrance,ign
"203",Address4588044262815841,Address,"66",,Rue Oberkampf,"75111",entrance,ign
"204",Address4788044261861233,Address,"179",,Rue de Charonne,"75111",parcel,dgfip
"205",Address3388044260204927,Address,"15",,Rue de Charonne,"75111",entrance,ign
"206",Address7088044259728358,Address,"141",,Rue de Charonne,"75111",parcel,dgfip
"207",Address8788044259314210,Address,"55",,Rue de Charonne,"75111",parcel,dgfip
"208",Address7688044258919110,Address,"128",,Rue de Charonne,"75111",parcel,dgfip
"209",Address988044256659898,Address,"9",,COUR DE L OURS,"75111",entrance,ign
"210",Address9388044255775948,Address,"9",,RUE DES IMMEUBLES INDUSTRIELS,"75111",entrance,ign
"211",Address5588044255090465,Address,"3",,CITE DES 3 BORNES,"75111",parcel,dgfip
"212",Address7988044251290665,Address,"11",,IMPASSE DE MONT LOUIS,"75111",entrance,ign
"213",Address6788044251006182,Address,"9",,RUE CARRIERE MAINGUET,"75111",entrance,ign
"214",Address9788044249364417,Address,"89",,RUE DU FAUBOURG SAINT ANTOINE,"75111",parcel,dgfip
"215",Address9588044248471925,Address,"205",,RUE DU FAUBOURG SAINT ANTOINE,"75111",entrance,ign
"216",Address6888044248390910,Address,"63",,RUE DU FAUBOURG SAINT ANTOINE,"75111",entrance,ign
"217",Address8988044243874510,Address,"113",,RUE DU FAUBOURG SAINT ANTOINE,"75111",entrance,ign
"218",Address4588044242445549,Address,"219",,RUE DU FAUBOURG SAINT ANTOINE,"75111",entrance,ign
"219",Address8488044422654760,Address,"4",,COUR DE L INDUSTRIE,"75111",entrance,ign
"220",Address7488044420490260,Address,"16",,Rue Jean-pierre Timbaud,"75111",entrance,ign
"221",Address288044419263394,Address,"69",,Rue Jean-pierre Timbaud,"75111",entrance,ign
"222",Address5988044418148485,Address,"5",,Cité d'Angoulême,"75111",parcel,dgfip
"223",Address1088044416827967,Address,"19",,Avenue Parmentier,"75111",parcel,dgfip
"224",Address6088044415169744,Address,"67",,Avenue Parmentier,"75111",parcel,dgfip
"225",Address4488044413940409,Address,"109",,Avenue Parmentier,"75111",entrance,ign
"226",Address5388044413659304,Address,"37",,Avenue Parmentier,"75111",parcel,dgfip
"227",Address9788044413156202,Address,"5",,Rue Jean Macé,"75111",parcel,dgfip
"228",Address1488044412925171,Address,"12",,Rue Jean Macé,"75111",parcel,dgfip
"229",Address6188044411803015,Address,"92",,Rue du Faubourg du Temple,"75111",parcel,dgfip
"230",Address8788044411494169,Address,"16",,Avenue de Bouvines,"75111",parcel,dgfip
"231",Address4288044411225911,Address,"48",,Boulevard du Temple,"75111",parcel,dgfip
"232",Address6788044410755446,Address,"14",,Boulevard du Temple,"75111",parcel,dgfip
"233",Address7588044408118661,Address,"5",,Cité Popincourt,"75111",entrance,ign
"234",Address7388044407228092,Address,"45",,Boulevard de Belleville,"75111",entrance,ign
"235",Address4788044406036935,Address,"40",,Rue Richard Lenoir,"75111",parcel,dgfip
"236",Address9888044404913373,Address,"4",BIS,Rue de la Pierre Levée,"75111",entrance,ign
"237",Address8888044402705481,Address,"3",,Avenue du Trône,"75111",parcel,dgfip
"238",Address688044402252695,Address,"14",,Passage Gustave Lepeu,"75111",entrance,ign
"239",Address9988044401693955,Address,"5",,Rue Gambey,"75111",parcel,dgfip
"240",Address6388044396619988,Address,"77",,Rue du Chemin Vert,"75111",parcel,dgfip
"241",Address5088044393681409,Address,"12",,Rue de Nice,"75111",entrance,ign
"242",Address5688044393529436,Address,"7",,Rue Morand,"75111",entrance,ign
"243",Address4388044390518074,Address,"7",,Rue des Taillandiers,"75111",entrance,ign
"244",Address9888044389238723,Address,"14",,Rue Pache,"75111",parcel,dgfip
"245",Address5888044387834103,Address,"12",BIS,Rue de la Petite Pierre,"75111",entrance,ign
"246",Address1088044387638156,Address,"8",,Rue Auguste Barbier,"75111",parcel,dgfip
"247",Address3488044384876154,Address,"35",,Rue Léon Frot,"75111",entrance,ign
"248",Address7988044382228740,Address,"32",,Rue de Lappe,"75111",entrance,ign
"249",Address488044379043278,Address,"11",,Rue Réné Villermé,"75111",parcel,dgfip
"250",Address9088044377355094,Address,"2",BIS,Rue Moufle,"75111",parcel,dgfip
"251",Address5588044377144527,Address,"4",,Rue Pasteur,"75111",parcel,dgfip
"252",Address9188044376012192,Address,"65",,Rue de la Fontaine au Roi,"75111",entrance,ign
"253",Address1188044375640642,Address,"57",,Rue de la Fontaine au Roi,"75111",parcel,dgfip
"254",Address4488044372701726,Address,"4",,Villa Marcès,"75111",parcel,dgfip
"255",Address3888044371620305,Address,"43",,Rue Servan,"75111",entrance,ign
"256",Address4588044371341094,Address,"32",,Rue Servan,"75111",parcel,dgfip
"257",Address888044360717471,Address,"3",,Passage Lisa,"75111",parcel,dgfip
"258",Address9788044359710286,Address,"7",,Passage de la Main d'Or,"75111",entrance,ign
"259",Address7188044359159118,Address,"3",,Rue Roubo,"75111",parcel,dgfip
"260",Address3988044358474835,Address,"2",,Passage de la Bonne Graine,"75111",parcel,dgfip
"261",Address2288044357020066,Address,"58",,Avenue Philippe-auguste,"75111",entrance,ign
"262",Address1388044356905664,Address,"55",,Avenue Philippe-auguste,"75111",entrance,ign
"263",Address2388044356622542,Address,"42",,Avenue Philippe-auguste,"75111",parcel,dgfip
"264",Address388044355958438,Address,"96",,Avenue Philippe-auguste,"75111",entrance,ign
"265",Address9188044352718264,Address,"65",,Rue de Malte,"75111",entrance,ign
"266",Address4388044352338475,Address,"50",,Rue de Malte,"75111",parcel,dgfip
"267",Address988044352142399,Address,"43",,Rue de Malte,"75111",parcel,dgfip
"268",Address4788044351217720,Address,"11",BIS,Place de la Nation,"75111",entrance,ign
"269",Address1788044349548038,Address,"12",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"270",Address688044349386448,Address,"106",,Rue de la Folie-méricourt,"75111",entrance,ign
"271",Address7088044349213901,Address,"96",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"272",Address4388044347880005,Address,"35",,Rue de la Folie-méricourt,"75111",entrance,ign
"273",Address1688044347684994,Address,"8",,Rue Jules Vallés,"75111",parcel,dgfip
"274",Address6488044347581415,Address,"4",BIS,Rue Jules Vallés,"75111",parcel,dgfip
"275",Address2488044347267197,Address,"14",,Rue Jules Vallés,"75111",entrance,ign
"276",Address6488044346679785,Address,"11",,Rue des Boulets,"75111",parcel,dgfip
"277",Address8488044346667062,Address,"10",,Rue des Boulets,"75111",parcel,dgfip
"278",Address4988044346429455,Address,"43",,Rue des Boulets,"75111",parcel,dgfip
"279",Address2988044346118661,Address,"30",,Rue des Boulets,"75111",entrance,ign
"280",Address288044345401814,Address,"2",,Rue Boulle,"75111",parcel,dgfip
"281",Address7888044344915796,Address,"11",,Passage Turquetil,"75111",entrance,ign
"282",Address6588044344156650,Address,"9",,Impasse des Jardiniers,"75111",parcel,dgfip
"283",Address7888044343104661,Address,"21",,Rue Chanzy,"75111",entrance,ign
"284",Address2788044343078138,Address,"20",,Rue Chanzy,"75111",entrance,ign
"285",Address3788044342759818,Address,"5",,Rue Chanzy,"75111",entrance,ign
"286",Address6488044342174121,Address,"27",,Rue Chanzy,"75111",parcel,dgfip
"287",Address8888044342012930,Address,"6",,Impasse Truillot,"75111",entrance,ign
"288",Address5088044340938384,Address,"26",,Rue Bréguet,"75111",entrance,ign
"289",Address2588044337280749,Address,"24",,Rue Basfroi,"75111",entrance,ign
"290",Address9288044336946489,Address,"12",,Rue Basfroi,"75111",entrance,ign
"291",Address5588044335415243,Address,"3",,Rue Merlin,"75111",parcel,dgfip
"292",Address988044334682329,Address,"13",,Rue Ternaux,"75111",entrance,ign
"293",Address7088044334351818,Address,"33",,Passage Thièré,"75111",entrance,ign
"294",Address788044332473209,Address,"12",,Rue Deguerry,"75111",entrance,ign
"295",Address5088044331670156,Address,"1",,Passage Piver,"75111",entrance,ign
"296",Address988044331579730,Address,"5",,Rue Pihet,"75111",parcel,dgfip
"297",Address188044329820201,Address,"3",,Rue Crespin du Gast,"75111",parcel,dgfip
"298",Address7788044328067107,Address,"102",,Boulevard Beaumarchais,"75111",parcel,dgfip
"299",Address6388044327565427,Address,"22",,Rue Saint-maur,"75111",parcel,dgfip
"300",Address4788044323996785,Address,"112",,Rue Saint-maur,"75111",parcel,dgfip
"301",Address7888044322372003,Address,"133",,Boulevard de Ménilmontant,"75111",entrance,ign
"302",Address4488044319423400,Address,"32",,Rue Emile Lepeu,"75111",parcel,dgfip
"303",Address1088044318597489,Address,"19",,Rue de Crussol,"75111",parcel,dgfip
"304",Address3988044312685671,Address,"119",,Rue de Montreuil,"75111",entrance,ign
"305",Address4388044310426615,Address,"29",,Rue Godefroy Cavaignac,"75111",parcel,dgfip
"306",Address688044309777923,Address,"29",,Boulevard Voltaire,"75111",parcel,dgfip
"307",Address5088044305599771,Address,"165",,Boulevard Voltaire,"75111",parcel,dgfip
"308",Address9588044305423689,Address,"236",,Boulevard Voltaire,"75111",parcel,dgfip
"309",Address9388044304839876,Address,"156",,Boulevard Voltaire,"75111",parcel,dgfip
"310",Address3788044304592627,Address,"152",,Boulevard Voltaire,"75111",parcel,dgfip
"311",Address9388044301819618,Address,"23",,Rue de Belfort,"75111",parcel,dgfip
"312",Address2488044300608494,Address,"12",,Cité de Phalsbourg,"75111",entrance,ign
"313",Address7788044298167426,Address,"74",,Rue Sedaine,"75111",parcel,dgfip
"314",Address8688044297747360,Address,"6",,Rue Sedaine,"75111",entrance,ign
"315",Address6088044297136255,Address,"41",,Rue Sedaine,"75111",entrance,ign
"316",Address5088044296409348,Address,"5",BIS,Rue du Dahomey,"75111",parcel,dgfip
"317",Address5288044295386093,Address,"17",,Rue Robert et Sonia Delaunay,"75111",parcel,dgfip
"318",Address2188044294879590,Address,"2",,Rue de Candie,"75111",entrance,ign
"319",Address1888044293963931,Address,"8",,Passage Lhomme,"75111",entrance,ign
"320",Address3688044293859430,Address,"14",,Passage Lhomme,"75111",entrance,ign
"321",Address9488044292200944,Address,"2",,Villa du Clos de Malevart,"75111",entrance,ign
"322",Address1588044291539736,Address,"22",,Rue Trousseau,"75111",entrance,ign
"323",Address5688044291086416,Address,"198",,Rue de la Roquette,"75111",entrance,ign
"324",Address188044290821491,Address,"192",,Rue de la Roquette,"75111",entrance,ign
"325",Address8588044288128928,Address,"151",,Rue de la Roquette,"75111",parcel,dgfip
"326",Address3488044286958740,Address,"127",BIS,Rue de la Roquette,"75111",parcel,dgfip
"327",Address7588044282536822,Address,"163",,Rue Amelot,"75111",parcel,dgfip
"328",Address6488044281034188,Address,"5",,Allée du Philosophe,"75111",parcel,dgfip
"329",Address7788044278480695,Address,"71",,Avenue de la République,"75111",entrance,ign
"330",Address4888044277007119,Address,"28",,Avenue de la République,"75111",entrance,ign
"331",Address1888044273235254,Address,"52",,Boulevard Richard Lenoir,"75111",entrance,ign
"332",Address2288044272307465,Address,"23",,Boulevard Richard Lenoir,"75111",entrance,ign
"333",Address2688044266771754,Address,"9",,Rue Omer Talon,"75111",parcel,dgfip
