batiment_c,batiment_g,bdtopo
BATIMENT0000000244536935-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536167-2,24322000AO0408_b07421ba2eb5a69,BATIMENT0000000295378862
BATIMENT0000000244536213-1,24322000BD0206_77030562517b893,BATIMENT0000000244536213
BATIMENT0000000244524729-2,uf243220419398_437228d08b9ceff,BATIMENT0000000295374833
BATIMENT0000000244524740-1,24322000BR0325_4f3974918528bf5,BATIMENT0000000244524740
BATIMENT0000000244524745-3,24322000BH0086_5b6875886154f50,BATIMENT0000000244524745
BATIMENT0000000244524765-1,24322000BR0830_d7a58d351a0ddc9,BATIMENT0000000295374162
BATIMENT0000000244524816-1,24322000AZ0833_28ef8479b1bdef8,BATIMENT0000000295377965
BATIMENT0000000244524854-1,24322000BI0472_1f40a35d9b5ce1d,BATIMENT0000002004969695
BATIMENT0000000244524858-1,24322000AZ0823_356abe6285121e0,BATIMENT0000000295378134
BATIMENT0000000244524872-1,24322000BR0830_d7a58d351a0ddc9,BATIMENT0000000295374162
BATIMENT0000000244525673-3,24322000AR0585_484cab7fb6f85b1,BATIMENT0000000244525673
BATIMENT0000000244525694-1,uf243220171312_097d600cf018cdf,BATIMENT0000002006565334
BATIMENT0000000244525698-3,24322000AY0171_d62875a274eb6cd,BATIMENT0000000244525698
BATIMENT0000000244525745-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000244525763-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000244525794-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000244525804-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000244536589-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536596-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536597-1,24322000AH0174_0d75751f453d109,BATIMENT0000000244536597
BATIMENT0000000244536601-1,24322000AH0176_c0f847cda7e3665,BATIMENT0000000244536601
BATIMENT0000000244536609-1,24322000AN0140_f5d3ceb51287507,BATIMENT0000000331865010
BATIMENT0000000244536612-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000244536651-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536678-1,24322000AO0020_ba296c5b7f7304e,BATIMENT0000000244536678
BATIMENT0000000244536682-1,24322000AO0012_dd1c440a62d7622,BATIMENT0000000244536682
BATIMENT0000000244536686-2,24322000AN0147_f6d5251b9fd5593,BATIMENT0000000244536686
BATIMENT0000000244536690-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536697-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536711-1,24322000AN0140_f5d3ceb51287507,BATIMENT0000000331865010
BATIMENT0000000244536720-1,24322000AN0140_f5d3ceb51287507,BATIMENT0000000331865010
BATIMENT0000000244536735-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536803-1,24322000AO0457_5d41e2723b4f6fc,BATIMENT0000000331864802
BATIMENT0000000295370662-1,24322000AX0372_b8dd5e57334633a,BATIMENT0000000295370662
BATIMENT0000000295370663-1,24322000AX0374_52027b340a714d1,BATIMENT0000000295370663
BATIMENT0000000295370664-1,uf243220339029_724c657bfee5a01,BATIMENT0000000295382462
BATIMENT0000000295370666-2,uf243220172108_f13632a0d175798,BATIMENT0000000295370666
BATIMENT0000000295370667-1,uf243220171433_01fdd873ccbdd7a,BATIMENT0000000295371045
BATIMENT0000000295370668-2,24322000AX0549_7be76e465bc33ad,BATIMENT0000000295370668
BATIMENT0000000295370669-2,24322000AX0029_f51a9793498b217,BATIMENT0000000295370669
BATIMENT0000000295370670-1,24322000AX0031_c80f4cbe923af24,BATIMENT0000000295370670
BATIMENT0000000295370671-1,24322000AX0028_bedabe9c4b1013f,BATIMENT0000000295370671
BATIMENT0000000295370672-1,24322000AX0535_0faefd6ed3a1f58,BATIMENT0000000295370672
BATIMENT0000000295370673-1,24322000AX0536_d80aba2150ecd52,BATIMENT0000000295370673
BATIMENT0000000295370674-2,24322000AS0116_95621be44ef7c0c,BATIMENT0000000295370674
BATIMENT0000000295370675-2,24322000AS0115_64d3df96f750076,BATIMENT0000000295370675
BATIMENT0000000295370676-1,24322000AS0134_366c9525092be1d,BATIMENT0000000295382330
BATIMENT0000000295370679-1,24322000AX0373_4747bab27cafaaa,BATIMENT0000000295370679
BATIMENT0000000295370680-2,24322000AX0038_8d7fb75ecd998b7,BATIMENT0000000295370680
BATIMENT0000000295370681-1,24322000AS0144_d037e68a3a40c51,BATIMENT0000000295370681
BATIMENT0000000295370682-1,24322000AS0151_aa01fa06f911671,BATIMENT0000000295381392
BATIMENT0000000295370683-1,24322000AS0118_940824106967a79,BATIMENT0000000295370683
BATIMENT0000000295370684-1,24322000AX0361_dbf71cdb1034052,BATIMENT0000000295370684
BATIMENT0000000295370685-2,24322000AX0362_42e25ee2faf76a0,BATIMENT0000000295370685
BATIMENT0000000295370686-1,24322000AX0360_92232680f24e363,BATIMENT0000000295370686
BATIMENT0000000295370687-1,24322000AX0359_a25c26a97b8452a,BATIMENT0000000295370687
BATIMENT0000000295370688-1,24322000AX0358_fc75a8dcce840aa,BATIMENT0000000295370688
BATIMENT0000000295370689-1,24322000AX0357_716958a76150196,BATIMENT0000000295370689
BATIMENT0000000295370690-1,24322000AY0250_b01093f88f68453,BATIMENT0000000295370690
BATIMENT0000000295370691-1,24322000AY0249_47bdbc2694a9b85,BATIMENT0000000295370691
BATIMENT0000000295370692-1,24322000AY0248_1f3ca3c2577d7e3,BATIMENT0000000295370692
BATIMENT0000000295370693-1,24322000AY0247_654c5741df2b506,BATIMENT0000000295370693
BATIMENT0000000295370694-1,24322000BM0314_4603484cbb7b709,BATIMENT0000000295370694
BATIMENT0000000295370695-1,uf243220171304_fc2b93a06a49151,BATIMENT0000000295374704
BATIMENT0000000295370696-2,24322000BM0155_06ec82432b4e57d,BATIMENT0000000295370696
BATIMENT0000000295370698-1,24322000BM0170_da120d515cbe627,BATIMENT0000000295370698
BATIMENT0000000295370699-1,uf243220171172_fa111304d9bcdb1,BATIMENT0000002004969823
BATIMENT0000000295370700-2,24322000AX0355_8b5be37eea1555f,BATIMENT0000000295373943
BATIMENT0000000295370701-2,24322000AY0276_6bc43f3b33b8720,BATIMENT0000000295370701
BATIMENT0000000295370702-1,24322000AX0363_8f37595be536389,BATIMENT0000000295370702
BATIMENT0000000295370703-1,uf243220473939_93566b05a0085bc,BATIMENT0000000295370703
BATIMENT0000000295370704-2,uf243220473939_c0b0eb112f83f25,BATIMENT0000000295370704
BATIMENT0000000295370706-1,24322000AX0365_2b540cbb6901de2,BATIMENT0000000295370706
BATIMENT0000000295370707-1,24322000AX0366_2a00d1395c77a25,BATIMENT0000000295370707
BATIMENT0000000295370709-1,24322000AX0367_29d0ef9b58ae5b9,BATIMENT0000000295370709
BATIMENT0000000295370711-1,24322000AX0417_3f0880ed9f3b388,BATIMENT0000000295370711
BATIMENT0000000295370712-2,24322000AX0526_3ef3e9422921905,BATIMENT0000000295371384
BATIMENT0000000295370713-1,24322000AX0371_8845f6396d1cb6f,BATIMENT0000000295370713
BATIMENT0000000295370717-2,uf243220171857_ae5ba834c1e2f60,BATIMENT0000000295370719
BATIMENT0000000295370719-1,uf243220171857_ae5ba834c1e2f60,BATIMENT0000000295370719
BATIMENT0000000295370720-1,24322000AS0130_0f5221d32a76837,BATIMENT0000000295370720
BATIMENT0000000295370721-1,24322000AY0246_1c80f2e9c8ea9ea,BATIMENT0000000295370721
BATIMENT0000000295370722-1,24322000AY0245_f8f4adcdf609bc3,BATIMENT0000000295370722
BATIMENT0000000295370723-2,24322000AY0718_7dc790d6a64ab6a,BATIMENT0000000295370723
BATIMENT0000000295370726-2,24322000BM0170_10ad0523ffd512b,BATIMENT0000000295370726
BATIMENT0000000295370727-1,24322000BM0171_ecd044a31cfdad7,BATIMENT0000000295370727
BATIMENT0000000295370728-2,uf243220473908_74d0b2b06e327b2,BATIMENT0000000295370728
BATIMENT0000000295370729-1,uf243220473908_d6ffcda7426c24e,BATIMENT0000000295370729
BATIMENT0000000295370730-1,uf243220172476_23fbdd77e5db251,BATIMENT0000000295370730
BATIMENT0000000295370731-1,uf243220172172_bbacb54560b12d9,BATIMENT0000000295370731
BATIMENT0000000295370732-1,uf243220171172_fa111304d9bcdb1,BATIMENT0000002004969823
BATIMENT0000000295370734-1,24322000BM0304_652675326e56a4c,BATIMENT0000000295370734
BATIMENT0000000295370735-1,24322000AW0009_3e27a88dcac8041,BATIMENT0000000295370735
BATIMENT0000000295370736-1,24322000AW0008_9e8530970eb7452,BATIMENT0000000295370736
BATIMENT0000000295370737-2,24322000AW0093_4233d42aee66616,BATIMENT0000000295370737
BATIMENT0000000295370738-1,uf243220171236_3eb4a6918412be4,BATIMENT0000000295370738
BATIMENT0000000295370740-1,24322000AW0005_1691f93bac1e5f6,BATIMENT0000000295370740
BATIMENT0000000295370741-1,24322000AW0004_69e94990a7fe6a0,BATIMENT0000000295370741
BATIMENT0000000295370742-1,24322000AW0089_3f40c04191952a0,BATIMENT0000000295370742
BATIMENT0000000295370743-1,24322000AX0131_e849a189941e9be,BATIMENT0000000295370743
BATIMENT0000000295370744-1,24322000AX0132_77236b2360ce6ba,BATIMENT0000000295370744
BATIMENT0000000295370745-1,24322000AX0133_c646ea0c5605213,BATIMENT0000000295370745
BATIMENT0000000295370746-1,uf243220473817_5bea5163091c77d,BATIMENT0000000295370746
BATIMENT0000000295370747-1,24322000AW0056_3acba96f6c4254d,BATIMENT0000000295370747
BATIMENT0000000295370748-1,uf243220172178_76a93d26144f2b2,BATIMENT0000000295370748
BATIMENT0000000295370750-1,uf243220172357_d1acfa0c4cf5f2f,BATIMENT0000000295370750
BATIMENT0000000295370751-1,24322000AW0068_f63638b39d738a6,BATIMENT0000000295370751
BATIMENT0000000295370752-1,24322000AW0078_0f304a623791672,BATIMENT0000000295370752
BATIMENT0000000295370753-1,24322000AW0079_67e6a8acac9b084,BATIMENT0000000295370753
BATIMENT0000000295370754-1,24322000AW0058_e25d118a4924389,BATIMENT0000000295370754
BATIMENT0000000295370755-2,24322000AW0059_30807bfa189870e,BATIMENT0000000295370755
BATIMENT0000000295370756-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000295370757-1,24322000AW0070_49e8973e81dc06d,BATIMENT0000000295370757
BATIMENT0000000295370758-1,24322000AW0062_0a32c24f40a38cb,BATIMENT0000000295370758
BATIMENT0000000295370759-2,24322000AW0063_0b2097cf8d00a3c,BATIMENT0000000295370759
BATIMENT0000000295370760-1,24322000AW0069_c1e61d29415321f,BATIMENT0000000295370760
BATIMENT0000000295370761-1,24322000AW0060_fcd9eed0a08b6cd,BATIMENT0000000295370761
BATIMENT0000000295370762-1,24322000AW0061_3595a84329ca2aa,BATIMENT0000000295370762
BATIMENT0000000295370763-1,24322000AW0064_0aab9052d2165ef,BATIMENT0000000295370763
BATIMENT0000000295370764-1,24322000AW0065_43f0e02a909bb9c,BATIMENT0000000295370764
BATIMENT0000000295370765-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000295370766-1,24322000AX0130_be36f3866e9cf1b,BATIMENT0000000295370766
BATIMENT0000000295370767-2,24322000AW0074_cf9c9ab096d76a4,BATIMENT0000000295370767
BATIMENT0000000295370768-2,24322000AW0067_31f18f606b74dcf,BATIMENT0000000295370768
BATIMENT0000000295370769-1,24322000AW0066_c7b6b223147f103,BATIMENT0000000295370769
BATIMENT0000000295370770-1,24322000AX0506_70e736348a3b806,BATIMENT0000000295370770
BATIMENT0000000295370773-2,uf243220172029_12db4c29e7fb739,BATIMENT0000000295370773
BATIMENT0000000295370774-1,24322000AX0409_d3e75be7279174f,BATIMENT0000000295370774
BATIMENT0000000295370775-2,uf243220172034_2694538279c75b9,BATIMENT0000000295370775
BATIMENT0000000295370777-1,24322000AX0125_4f1ed1c9e157725,BATIMENT0000000295370777
BATIMENT0000000295370778-1,24322000AX0126_b581af0091800f9,BATIMENT0000000295370778
BATIMENT0000000295370779-1,24322000AT0048_85d02d96a4b20be,BATIMENT0000000295370779
BATIMENT0000000295370780-1,24322000AW0055_34e2b31915dbcb2,BATIMENT0000000295370780
BATIMENT0000000295370781-2,24322000AX0477_b5d5a3d12b2be58,BATIMENT0000000295370781
BATIMENT0000000295370783-1,24322000AX0227_fd51d38c87c796a,BATIMENT0000000295370783
BATIMENT0000000295370784-2,24322000AX0544_7a77bcf9b4a7723,BATIMENT0000000295370784
BATIMENT0000000295370785-2,24322000AX0220_98d3056305f50ce,BATIMENT0000000295370785
BATIMENT0000000295370786-1,24322000AX0219_eac5237adf1d548,BATIMENT0000000295370786
BATIMENT0000000295370787-1,24322000AX0215_a91881ab386e8d3,BATIMENT0000000295370787
BATIMENT0000000295370789-1,24322000AX0520_9a9786956bbce3b,BATIMENT0000000295370789
BATIMENT0000000295370791-1,24322000AX0607_0f9573b73ff22b5,BATIMENT0000000295370791
BATIMENT0000000295370791-2,24322000AX0608_37348c425048d57,BATIMENT0000000295370791
BATIMENT0000000295370792-2,24322000AX0555_7c39a737d4c3ed5,BATIMENT0000000295370792
BATIMENT0000000295370792-3,24322000AX0556_da999cc4ac790bd,BATIMENT0000000295370792
BATIMENT0000000295370794-1,24322000AX0262_d80c467283f1d73,BATIMENT0000000295370794
BATIMENT0000000295370795-1,24322000AX0261_c069187fa98ba69,BATIMENT0000000295370795
BATIMENT0000000295370796-1,24322000AX0522_65912c1ea68644a,BATIMENT0000000295370796
BATIMENT0000000295370797-1,24322000AX0263_5b2f95434805518,BATIMENT0000000295370797
BATIMENT0000000295370798-1,uf243220171908_bb49edac521823b,BATIMENT0000000295370798
BATIMENT0000000295370799-1,24322000AX0264_14e8e82f8b9d504,BATIMENT0000000295370799
BATIMENT0000000295370801-2,24322000AX0502_f37368d3bf34f22,BATIMENT0000000295370801
BATIMENT0000000295370802-1,24322000AX0267_efa1ee64b386adb,BATIMENT0000000295370802
BATIMENT0000000295370803-1,24322000AX0266_32d948f9eb0e6d1,BATIMENT0000000295370803
BATIMENT0000000295371212-1,24322000BM0292_ccd49796c432106,BATIMENT0000000295371212
BATIMENT0000000295370805-3,24322000AX0218_5724a7bf50b0e8c,BATIMENT0000000295370805
BATIMENT0000000295370808-1,24322000AX0224_47302cbb5bc695b,BATIMENT0000000295370808
BATIMENT0000000295370812-1,24322000AX0214_ecebde5d69de02a,BATIMENT0000000295370812
BATIMENT0000000295370813-1,24322000AX0210_42df0129d3c1847,BATIMENT0000000295370813
BATIMENT0000000295370814-1,24322000AX0211_d289b48d9d55a37,BATIMENT0000000295370814
BATIMENT0000000295370815-1,24322000AX0230_dda528deb688c16,BATIMENT0000000295370815
BATIMENT0000000295370816-1,uf243220172061_7c1d3dae7a43149,BATIMENT0000000295370816
BATIMENT0000000295370817-1,24322000AX0225_d3a8a3073a375e6,BATIMENT0000000295370817
BATIMENT0000000295370818-1,24322000AX0212_ee34ff3d84215b6,BATIMENT0000000295370818
BATIMENT0000000295370819-1,24322000AW0012_d1ab9ca9cb2211b,BATIMENT0000000295370819
BATIMENT0000000295370820-2,24322000AX0554_2ebb9af6289ee42,BATIMENT0000000295370820
BATIMENT0000000295370821-1,24322000AX0519_793762213262323,BATIMENT0000000295370821
